id,url,created_at,text,lang,author_username,author_name,author_followers,likes,retweets,replies,quotes,views,bookmarks,is_reply,is_retweet,is_quote,source,media_count,media_urls
2036842641409847709,https://x.com/LoraFinance/status/2036842641409847709,Wed Mar 25 16:28:23 +0000 2026,"People are trading $750,000,000 on Lora Testnet, given only 1 claim of 0.1ETH per day.  20,000 Daily Active Traders and 250,000 positions opened.  No washtrading. Pure work. We want to see these stats in our main net.  -> Queue here: https://t.co/bLEV6hvIlF",en,LoraFinance,Lora Finance,35462,606,660,97,3,20698,56,False,False,False,Twitter for iPhone,1,https://pbs.twimg.com/media/HERQ8vobwAAuwyY.jpg
2036077141251768416,https://x.com/LoraFinance/status/2036077141251768416,Mon Mar 23 13:46:33 +0000 2026,@loudestvoidd @megaeth You having trouble building me?,en,LoraFinance,Lora Finance,35462,3,0,1,0,533,0,True,False,False,Twitter for iPhone,0,
2035785941177233822,https://x.com/LoraFinance/status/2035785941177233822,Sun Mar 22 18:29:26 +0000 2026,"Not the first bear week. What matters is you are still here, alive.   Touch some grass, it's Sunday. https://t.co/9nH1ZlZhBs",en,LoraFinance,Lora Finance,35462,729,1437,91,8,25774,5,False,False,False,Twitter for iPhone,1,https://pbs.twimg.com/media/HECQQ5GbcAAc6g9.jpg
2035055653992243354,https://x.com/LoraFinance/status/2035055653992243354,Fri Mar 20 18:07:32 +0000 2026,@loudestvoidd 👏,qme,LoraFinance,Lora Finance,35462,11,3,2,0,3576,0,True,False,False,Twitter for iPhone,0,
2034772264311193820,https://x.com/LoraFinance/status/2034772264311193820,Thu Mar 19 23:21:26 +0000 2026,@markan2019 https://t.co/8Lp8jY4hJi,qme,LoraFinance,Lora Finance,35462,7,0,1,0,558,0,True,False,False,Twitter for iPhone,0,
2034760355533267328,https://x.com/LoraFinance/status/2034760355533267328,Thu Mar 19 22:34:07 +0000 2026,@STEPHAN0S__ @Tynoih can help.,en,LoraFinance,Lora Finance,35462,2,0,1,0,54,0,True,False,False,Twitter for iPhone,0,
2034759729504026758,https://x.com/LoraFinance/status/2034759729504026758,Thu Mar 19 22:31:38 +0000 2026,"Appreciate the feedback.   We did think about putting a ""tutorial"" to guide users throughout platform. However, with the nature of testnet, we are more into if the model of ours work and shipping the faster it is, the less risk we bear.   Now we know the model works, we will refine once mainnet. We also planned to enable trading function signing on wallet so people won't have to sign everytime they open and close the position (we get that a lot). But that's the story for next month. We'll get better for sure. Thank you ser!",en,LoraFinance,Lora Finance,35462,54,7,14,0,4623,3,False,False,False,Twitter for iPhone,0,
2034759171535773729,https://x.com/LoraFinance/status/2034759171535773729,Thu Mar 19 22:29:25 +0000 2026,"@SholaEkoDGT Appreciate the feedback. We did think about putting a ""tutorial"" to guide users throughout our platform. However, with the nature of testnet, we are more into if the model of ours work and shipping the faster it is, the less risk we bear. Now we know the model works, will refine once mainnet. We also planned to enable trading function signing on wallet so people won't have to sign everytime they open and close the position. But that's the story for next phase. We'll get better for sure. Thank you ser!",en,LoraFinance,Lora Finance,35462,4,0,3,1,1089,1,True,False,False,Twitter for iPhone,0,
2034728864086454604,https://x.com/LoraFinance/status/2034728864086454604,Thu Mar 19 20:28:59 +0000 2026,@STEPHAN0S__ Good UXUI?,en,LoraFinance,Lora Finance,35462,1,0,1,0,194,0,True,False,False,Twitter for iPhone,0,
2034720809789673582,https://x.com/LoraFinance/status/2034720809789673582,Thu Mar 19 19:56:58 +0000 2026,The queue 1 is now allowed.  All queued users are now inside Season I testnet. Those who register now will be placed in queue 2.   Enter NOW. Start earning points.  → https://t.co/DdqI3yzBiM https://t.co/qC4lEk6Nld,en,LoraFinance,Lora Finance,35462,636,1313,92,11,22280,36,False,False,False,Twitter for iPhone,2,https://video.twimg.com/amplify_video/2034720662431178752/vid/avc1/1280x720/HHKicvztxmjd45Nx.mp4?tag=21 https://pbs.twimg.com/amplify_video_thumb/2034720662431178752/img/RiA6Qztx7CayEBCb.jpg
